,CompanyName,Date,Title,level,overall_news_score,negative_score,positive_score,neutral_score,compound_score,final_tag,Close,final_tag_stock4,final_tag_bert,final_tag_stock_level,final_tag_vader_level,final_tag_bert_level,final_tag_bert1,final_tag_bert_level1
10,ASIAN PAINTS LTD,2019-01-18,asian paints ltd -- shareholding period ended decemberasian paints ltd -- loss share certificate issue duplicate share certificate asian paints ltd -- shareholding period ended decemberasian paints ltd -- loss share certificate issue duplicate share certificate,4,0.31870725750923157,0.106,0.203,0.691,0.4939,positive,1400.45,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
11,ASIAN PAINTS LTD,2019-01-21,three insurance firms asian paints results stocks watch asian paints havells idbi bank lt finance holdings asian paints q3fy19e result expectation,5,0.3199969232082367,0.0,0.0,1.0,0.0,neutral,1422.1,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
12,ASIAN PAINTS LTD,2019-01-22,"prabhat dairy asian paints lupin justdial among top stocks track live nifty futures suggest tepid t asian paints prabhat dairy focus top stocks focus asian paints tvs motor prabhat dairy stocks news sun pharma prabhat dairy lt asian paints asian paints q3 revenue volume may see robust growth weak operating margin may limit profit share market live blog nifty futures suggest tepid t asian paints prabhat dairy focus - bloombergquint asian paints q3 results today heres track asian paints q3 results today heres track asian paints drops five ahead q3fy19 results brief-indias asian paints dec-qtr consol net profit rises one hundred and forty-six pct asian paints third-quarter profit jumps one hundred and forty-six percent beats estimate asian paints ltd announces q3fy19 results asian paints third-quarter profit jumps one hundred and forty-six percent beats estimate asian paints q3 net profit rises fourteen rs six hundred and forty-seven cr asian paints q3 net profit rises fourteen rs six hundred and forty-seven cr asian paints net profit rises fourteen q3 fy19 asianpaintasian paints limited submitted exchange financial results period ended decemberreliance infosys asian paints likely focus today prabhat dairy asian paints lupin justdial among top stocks track asian paints watched ahead q3 result asian paints q3 results today heres track asian paints ltd -- outcome board meeting live sensex nifty days low asian paints q3 profit fifteen asian paints ltd q3 consolidated pat higher rs sixty-four thousand, seven hundred and fifteen crores indias asian paints q3 profit jumps one hundred and forty-six pct beats estimate asian paints q3 profit jumps fourteen rs six hundred and forty-seven cr robust topline margin contracts asian paints posts rs six hundred and thirty-six crore profit december quarter asian paints q3 profit rises fifteen yoy rs six hundred and thirty-six crore asian paints slips declaring q3 result asian paints standalone december two thousand and eighteen net sales rs four hundred and fifty-three thousand, six hundred and five crore two thousand, six hundred and forty-four y-o-y asian paints consolidated december two thousand and eighteen net sales rs five hundred and twenty-nine thousand, three hundred and ninety-nine crore two thousand, four hundred and twenty-six y-o-y q3 results asian paints meets estimates higher volumes asian paints reports better-than-expected profit rising india demand asian paints reports better-than-expected profit rising india demand asian paints q3 net rises one hundred and forty-six volumes surge asian paints reports better-than-expected profit rising india demand venturecanvas stocks news sun pharma prabhat dairy lt asian paints prabhat dairy asian paints lupin justdial among top stocks track prabhat dairy asian paints lupin justdial among top stocks track asian paints q3 revenue volume may see robust growth weak operating margin may limit profit asian paints watched ahead q3 result stocks news sun pharma prabhat dairy lt asian paints - economic times asian paints q3 preview brokerages expect double-digit growth revenue volume asian paints ltd -- outcome board meeting q3 results asian paints profit meets estimates asian paints third-quarter profit jumps one hundred and forty-six percent beats estimate asian paints q3 profit rises fifteen yoy rs six hundred and thirty-six crore asian paints q3 profit jumps fourteen rs six hundred and forty-seven cr robust topline margin contracts asian paints third-quarter profit jumps one hundred and forty-six percent beats estimate asian paints posts rs six hundred and thirty-six crore profit december quarter asian paints slips declaring q3 result quick take asian paints q3 review strong double-digit volume growth drives earnings asian paints reports double-digit growth q3 net profit asian paints q3 net profit rises fourteen rs six hundred and forty-seven cr revenue rs five thousand, two hundred and ninety-three cr asian paints volumes improve increase input costs take sheen earnings strong q3 volume growth adds colour asian paints net sales rises two hundred and forty-one asian paints q3 net rises one hundred and forty-six volumes surge top stocks focus asian paints tvs motor idbi bank power grid results watch - asian paints tvs motor havells oberoi realty stocks news sun pharma prabhat dairy lt asian paints asian paints q3 preview brokerages expect double-digit growth revenue volume asian paints q3 results today heres track asian paints q3 results today heres track expect muted asian paints result yogesh mehta asian paints third-quarter profit jumps one hundred and forty-six percent beats estimate indias asian paints q3 profit jumps one hundred and forty-six pct beats estimate asian paints q3 profit rises fifteen yoy rs six hundred and thirty-six crore asian paints ltd q3 consolidated net rises one thousand, four hundred and nine pc asian paints q3 net profit rises fourteen rs six hundred and forty-seven cr revenue rs five thousand, two hundred and ninety-three cr asian paints margins pressure due commodity inflation sun pharma share price stocks news sun pharma prabhat dairy lt asian paints strong q3 volume growth adds colour asian paints net sales rises two hundred and forty-one asianpaintasian paints limited informed exchange regarding outcome board meeting held january two hundred and twenty-two thousand and nineteen",4,0.2397068440914154,0.02,0.162,0.818,0.999,positive,1406.95,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
13,ASIAN PAINTS LTD,2019-01-23,"asian paints reports strong q3 earnings buy sell hold ideas profit asian paints strong q3 performance valuations limit upside asian paints consolidated net profit rises one thousand, four hundred and sixty december two thousand and eighteen quarter asian paints consolidated net profit rises one thousand, four hundred and sixty december two thousand and eighteen quarter asianpaintasian paints limited informed exchange regarding pursuant regulation thirty applicable provisions listing regulations please find enclosed copies financial results company quarter nine months ended 31st december2018 published following newspapers todayi india edition business standardii mumbai edition free press journaliii mumbai edition navshakti iv maharashtra edition punyanagrithis information record asian paints limiteds nseasianpaint twenty-three better average share market live sensex opens mildly lower nifty ten thousand, nine hundred and fifty asian paints yes bank shares one ideas profit asian paints strong q3 performance valuations limit upside asian paints standalone net profit rises one thousand, nine hundred and twenty-eight december two thousand and eighteen quarter asian paints ltd -- announcement regulation thirty lodr-newspaper publication asian paints ltd -- announcement regulation thirty lodr-newspaper publication asian paints standalone net profit rises one thousand, nine hundred and twenty-eight december two thousand and eighteen quarter",4,0.31870725750923157,0.018,0.202,0.78,0.9902,positive,1396.55,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
14,ASIAN PAINTS LTD,2019-01-24,"buy asian paints target rs one thousand, five hundred and seventy-five phillip capital india asian paints limited- result declared third quarter q3 report card asian paints hdfc bank among stocks 12-30 upside q3 report card asian paints hdfc bank among stocks 12-30 upside - moneycontrolcom buy asian paints target rs one thousand, six hundred icici direct street remains bullish asian paints growth outlook street remains bullish asian paints growth outlook street remains bullish asian paints growth outlook asian paints limited- result declared third quarter q3 report card asian paints hdfc bank among stocks 12-30 upside buy asian paints target rs one thousand, six hundred icici direct",3,0.29111963510513306,0.034,0.069,0.897,0.6124,positive,1401.85,POSITIVE,POSITIVE,1,1,1,NEGATIVE,2
15,ASIAN PAINTS LTD,2019-01-25,"asian paints ltd -- postal ballot asian paints ltd -- announcement regulation thirty lodr-newspaper publication asian paints ltd -- announcement regulation thirty lodr-newspaper publication asian paints ltd -- postal ballot asian paints ltd -- loss share certificate issue duplicate share certificate live sensex nifty days high hero motocorp asian paints top losers share market live sensex turns choppy nifty ten thousand, eight hundred and fifty icici bank asian paints among top losers asian paints ltd -- loss share certificate issue duplicate share certificate asianpaintasian paints limited informed exchange regarding notice postal ballot asianpaintasian paints limited informed exchange regarding pursuant regulation thirty listing regulations please find enclosed copies notices given shareholders informing postal ballot accordance regulation forty-seven listing regulations section one hundred and ten applicable provisions companies act two thousand and thirteen read rule twenty-two companies management administration rules two thousand and fourteen including statutory modifications re-enactments thereof time force secretarial standard - two issued institute company secretaries india notice published following newspapers 25th january 2019i india edition business standardii mumbai edit",4,0.31870725750923157,0.078,0.133,0.789,0.8271,positive,1372.15,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
16,ASIAN PAINTS LTD,2019-01-28,transcript asian paints q3 fy19 earnings conference call asian paints collaborates pearl academy strengthen color education amongst students transcript asian paints q3 fy19 earnings conference call street remains bullish asian paints growth outlook,5,0.3199969232082367,0.0,0.136,0.864,0.5994,positive,1379.5,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
17,ASIAN PAINTS LTD,2019-01-29,asian paints announces winners delhi beautiful homes two thousand and nineteen asian paints ltd commences commercial production vizag facility brief-asian paints commences commercial production paints intermediaries vishakhapatnam plant asianpaintasian paints limited informed exchange regarding we refer letters dated 10th march two thousand and fifteen 21st june2016 wrt setting paint manufacturing facility vishakhapatnam andhra pradesh ultimate capacity five five lakh kl pa implemented phased mannerwe wish inform today commercial production paints intermediaries successfully commenced vishakhapatnam plant andhra pradesh initial capacity said manufacturing facility three three lakh kl pa none promoters directors key managerial persons relatives interested directly indirectly interested aforesaid asian paints ltd -- commencement commercial production companys vishakhapatnam plant andhra pradesh asian paints ltd -- commencement commercial production companys vishakhapatnam plant andhra pradesh,4,0.31870725750923157,0.014,0.134,0.852,0.9468,positive,1393.3,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
18,ASIAN PAINTS LTD,2019-01-30,"stocks radar asian paints axis bank bajaj auto dhfl yes bank asian paints ltd -- loss share certificate issue duplicate share certificate asian paints ltd -- loss share certificate issue duplicate share certificate accumulate asian paints target rs one thousand, five hundred and thirteen dolat capital accumulate asian paints target rs one thousand, four hundred and sixty prabhudas lilladher accumulate asian paints target rs one thousand, four hundred and sixty prabhudas lilladher stocks radar axis bank dhfl yes bank asian paints",4,0.3016796112060547,0.05,0.155,0.795,0.8225,positive,1390.4,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
19,ASIAN PAINTS LTD,2019-01-31,"buy asian paints target rs one thousand, five hundred and fifty reliance securities buy asian paints target rs one thousand, five hundred and fifty reliance securities buy asian paints target rs one thousand, five hundred and fifty reliance securities",3,0.29111963510513306,0.0,0.155,0.845,0.6808,positive,1412.6,POSITIVE,POSITIVE,1,1,1,NEGATIVE,2
20,ASIAN PAINTS LTD,2019-02-01,asian paints ltd -- loss share certificate issue duplicate share certificate,4,0.31870725750923157,0.156,0.299,0.544,0.2732,positive,1457.2,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
21,ASIAN PAINTS LTD,2019-02-05,asian paints ltd -- loss share certificate issue duplicate share certificate,4,0.31870725750923157,0.156,0.299,0.544,0.2732,positive,1450.35,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
22,ASIAN PAINTS LTD,2019-02-06,asian paints guards ranbir kapoors career politician asian paints launches new campaign ranbir kapoor asian paints ltd -- loss share certificate issue duplicate share certificate asian paints launches new campaign ranbir kapoor lamination wala ultima protek,4,0.31870725750923157,0.058,0.111,0.831,0.2732,positive,1469.4,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
23,ASIAN PAINTS LTD,2019-02-08,"buy asian paints target rs one thousand, five hundred and thirty shrikant chouhan buy asian paints target rs one thousand, five hundred and thirty shrikant chouhan buy asian paints target rs one thousand, five hundred and thirty shrikant chouhan",3,0.29111963510513306,0.0,0.0,1.0,0.0,neutral,1448.8,NEGATIVE,POSITIVE,2,3,1,NEGATIVE,2
24,ASIAN PAINTS LTD,2019-02-13,asian paints ltd -- announcement regulation thirty lodr-analyst investor meet - intimation asianpaintasian paints limited informed exchange regarding analystsinstitutional investor meetcon call updates asian paints ltd -- announcement regulation thirty lodr-analyst investor meet - intimation,4,0.31870725750923157,0.053,0.0,0.947,-0.2263,negative,1424.15,NEGATIVE,POSITIVE,2,2,1,POSITIVE,1
25,ASIAN PAINTS LTD,2019-02-14,asian paints ltd -- loss share certificate issue duplicate share certificate asian paints ltd -- loss share certificate issue duplicate share certificate india- anaerobic adhesives market two thousand and twenty-five forecast with- scapa 3m henkel avery dennison johnson johnson tesa se medline industries inc asian paints shurtape technologies llc dukal corpora,4,0.31870725750923157,0.079,0.151,0.771,0.4939,positive,1399.2,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
26,ASIAN PAINTS LTD,2019-02-15,asian paints ltd -- loss share certificate issue duplicate share certificate asian paints ltd -- loss share certificate issue duplicate share certificate india- construction sealants market forecast two thousand and twenty-five industry trends analysis asian paints bostik dap henkel basf 3m franklin international hodgson sealants naga inspiration asian paints wallpaper year mithun naga inspiration behind asian paints wallpaper year mithun,4,0.31870725750923157,0.064,0.216,0.72,0.875,positive,1393.6,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
27,ASIAN PAINTS LTD,2019-02-18,"sensex nifty decline paced losses asian paints yes bank sensex nifty extend decline paced losses asian paints yes bank share market live sensex extends losses nifty ten thousand, six hundred and fifty tcs asian paints shed three asian paints ltd -- loss share certificate issue duplicate share certificate asian paints ltd -- loss share certificate issue duplicate share certificate share market live sensex extends losses nifty ten thousand, seven hundred and fifty tcs asian paints shed three sensex nifty extend decline paced losses asian paints yes bank sensex nifty decline paced losses asian paints yes bank",4,0.3016796112060547,0.154,0.344,0.502,0.9628,positive,1380.05,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
28,ASIAN PAINTS LTD,2019-02-19,morgan stanley focus list usl replaces asian paints morgan stanley focus list usl replaces asian paints morgan stanley focus list usl replaces asian paints,2,0.29218167066574097,0.0,0.0,1.0,0.0,neutral,1377.85,NEGATIVE,NEGATIVE,2,3,2,NEGATIVE,2
29,ASIAN PAINTS LTD,2019-02-21,india- decorative paints coatings market two thousand and nineteen global top players asian paints limited kansai paints nippon paints co ltd share trend technology growth forecast two thousand and twenty-five,5,0.2487480491399765,0.055,0.191,0.754,0.5719,positive,1397.8,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
30,ASIAN PAINTS LTD,2019-02-22,asian paints ltd -- loss share certificate issue duplicate share certificate asian paints ltd -- loss share certificate issue duplicate share certificate,4,0.31870725750923157,0.156,0.299,0.544,0.4939,positive,1397.8,NEUTRAL,POSITIVE,3,1,1,POSITIVE,1
31,ASIAN PAINTS LTD,2019-02-25,asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011,4,0.31870725750923157,0.0,0.0,1.0,0.0,neutral,1398.25,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
32,ASIAN PAINTS LTD,2019-02-26,asian paints ltd -- disclosure voting results postal ballot regulation four hundred and forty-three sebi lodr regulations two thousand and fifteen asian paints ltd -- disclosure voting results postal ballot regulation four hundred and forty-three sebi lodr regulations two thousand and fifteen asianpaintasian paints limited submitted exchange copy srutinizers report postal ballot company informed exchange regarding voting results asian paints ltd -- results postal ballot asian paints ltd -- results postal ballot,4,0.31870725750923157,0.026,0.0,0.974,-0.2263,negative,1402.0,POSITIVE,POSITIVE,1,2,1,POSITIVE,1
33,ASIAN PAINTS LTD,2019-02-27,asianpaintasian paints limited informed exchange regarding pursuant regulation thirty listing regulations please find enclosed copies notices given shareholders informing results postal ballot notices published following newspapers 27th february 2019i india edition business standardii mumbai edition free press journaliii mumbai edition navshakti iv maharashtra edition punyanagrithis information record asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints ltd -- announcement regulation thirty lodr-newspaper publication asian paints ltd -- announcement regulation thirty lodr-newspaper publication,4,0.31870725750923157,0.066,0.057,0.877,0.0258,positive,1405.7,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
34,ASIAN PAINTS LTD,2019-02-28,asianpaintasian paints limited submitted exchange copy regulations three hundred and eleven three hundred and twelve sebisast regulations2011,4,0.31870725750923157,0.106,0.0,0.894,-0.2263,negative,1405.2,NEGATIVE,POSITIVE,2,2,1,POSITIVE,1
35,ASIAN PAINTS LTD,2019-03-01,asian paints ltd -- revised disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- revised disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 t india foundation partnership cpwd support asian paints celebrates inauguration indias first public art district lodhi art district,4,0.31870725750923157,0.0,0.11,0.89,0.7506,positive,1392.35,NEGATIVE,POSITIVE,2,1,1,POSITIVE,1
36,ASIAN PAINTS LTD,2019-03-06,asian paints ltd -- announcement regulation thirty lodr-analyst investor meet - intimation asian paints ltd -- announcement regulation thirty lodr-analyst investor meet - intimation asianpaintasian paints limited informed exchange regarding analystsinstitutional investor meetcon call updates promoter sold shares asian paints ltd inter-se transfer,4,0.31870725750923157,0.042,0.049,0.909,0.0772,positive,1393.7,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
37,ASIAN PAINTS LTD,2019-03-07,asian paints launches national campaign royale health shield,4,0.31870725750923157,0.0,0.0,1.0,0.0,neutral,1395.45,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
38,ASIAN PAINTS LTD,2019-03-08,"sell asian paints target rs one thousand, three hundred and seventy-seven kunal bothra asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate sell asian paints target rs one thousand, three hundred and seventy-seven kunal bothra sell asian paints target rs one thousand, three hundred and seventy-seven kunal bothra",4,0.3016796112060547,0.068,0.0,0.932,-0.5574,negative,1382.35,NEGATIVE,POSITIVE,2,2,1,POSITIVE,1
39,ASIAN PAINTS LTD,2019-03-11,todays picks ntpc asian paints hot stocks buy tuesday,5,0.3199969232082367,0.0,0.0,1.0,0.0,neutral,1419.8,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
40,ASIAN PAINTS LTD,2019-03-12,todays picks ntpc asian paints hot stocks buy tuesday,5,0.3199969232082367,0.0,0.0,1.0,0.0,neutral,1428.1,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
41,ASIAN PAINTS LTD,2019-03-13,asian paints ltd -- closure trading window asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asianpaintasian paints limited informed exchange regarding trading window closure pursuant sebi prohibition insider trading regulations2015 asian paints ltd -- closure trading window,4,0.31870725750923157,0.03,0.0,0.97,-0.2263,negative,1428.3,POSITIVE,POSITIVE,1,2,1,POSITIVE,1
42,ASIAN PAINTS LTD,2019-03-14,asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate todays picks asian paints coal india hot stocks buy friday todays picks asian paints coal india hot stocks buy friday profiteering asian paints passed tax reduction benefit customers asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate todays picks asian paints coal india hot stocks buy friday,4,0.31870725750923157,0.09,0.043,0.867,-0.296,negative,1434.75,POSITIVE,POSITIVE,1,2,1,POSITIVE,1
43,ASIAN PAINTS LTD,2019-03-18,sensex rallies three hundred points nifty 11500-mark bank stocks reliance industries asian paints rally mitessh thakkar march eighteen buy asian paints bhel - cnbctv18 sensex rallies three hundred points nifty 11500-mark bank stocks reliance industries asian paints rally sensex rallies three hundred points nifty 11500-mark bank stocks reliance industries asian paints rally todays picks asian paints lt hot stocks buy tuesday,4,0.3016796112060547,0.0,0.123,0.877,0.7964,positive,1445.6,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
44,ASIAN PAINTS LTD,2019-03-19,asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 todays picks asian paints lt hot stocks buy tuesday todays picks asian paints lt hot stocks buy tuesday asian paints unveils new brand identity oman asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints unveils new brand identity oman,4,0.31870725750923157,0.0,0.0,1.0,0.0,neutral,1453.9,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
45,ASIAN PAINTS LTD,2019-03-20,asian paints post office studios present colourful trends time asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate,4,0.31870725750923157,0.139,0.0,0.861,-0.802,negative,1456.15,POSITIVE,POSITIVE,1,2,1,POSITIVE,1
46,ASIAN PAINTS LTD,2019-03-22,asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011 asian paints ltd -- disclosures reg two hundred and ninety-two sebi sast regulations2011,4,0.31870725750923157,0.0,0.0,1.0,0.0,neutral,1471.25,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
47,ASIAN PAINTS LTD,2019-03-25,asian paints fin homes among ten stocks analysts say deliver decent returns 2-3 weeks asian paints fin homes among ten stocks analysts say deliver decent returns 2-3 weeks asian paints ltd -- revsied disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- revsied disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints ltd -- revsied disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints fin homes among ten stocks analysts say deliver decent returns 2-3 weeks asian paints ltd -- revsied disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011,4,0.31870725750923157,0.0,0.0,1.0,0.0,neutral,1457.55,NEGATIVE,POSITIVE,2,3,1,POSITIVE,1
48,ASIAN PAINTS LTD,2019-03-26,asian paints nears all-time high stock thirty-three fy19 insider trades asian paints itc yes bank asian paints nears all-time high stock thirty-three fy19 asian paints nears all-time high stock thirty-three fy19 tuesdays insider trades asian paints itc yes bank tuesdays insider trades asian paints itc yes bank tuesdays insider trades asian paints itc yes bank,4,0.31870725750923157,0.0,0.175,0.825,0.8689,positive,1485.05,POSITIVE,POSITIVE,1,1,1,POSITIVE,1
49,ASIAN PAINTS LTD,2019-03-27,d-street buzz yes bank jumps six asian paints hits 52-week high asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate d-street buzz yes bank jumps six asian paints hits 52-week high - moneycontrolcom asian paints ltd -- compliances-reg thirty-nine three - details loss certificate duplicate certificate asian paints announces sponsorship kolkata knight riders ipl two thousand and nineteen,3,0.24998661875724792,0.068,0.079,0.853,0.2023,positive,1472.05,NEGATIVE,POSITIVE,2,1,1,NEGATIVE,2
50,ASIAN PAINTS LTD,2019-03-28,asian paints announces sponsorship kolkata knight riders vivo ipl two thousand and nineteen asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011 asian paints partners kkr vivo ipl two thousand and nineteen asian paints official sponsor kolkata knight riders todays picks asian paints tata steel hot stocks buy friday asian paints ltd -- disclosures reg three hundred and eleven three hundred and twelve sebi sast regulations2011,4,0.31870725750923157,0.0,0.0,1.0,0.0,neutral,1497.0,POSITIVE,POSITIVE,1,3,1,POSITIVE,1
